title,author,category,publish_year,resource_id,cover_url,description,publisher
Toward a marxist anthropology,,anthropology,1979.0,OL21716775M,/images/icons/avatar_book-sm.png,,"Mouton, 1979."
School of Hard Knocks,Theresa Crater,psychology,2017.0,OL25301341W,//covers.openlibrary.org/b/olid/OL33884046M-M.jpg,,Crystal Star Publishing
College Mathematics With Technology,Raymond A. Barnett,mathematics,1999.0,OL9354366M,//covers.openlibrary.org/b/olid/OL9354366M-M.jpg,,Prentice Hall College Div
No nap for Benjamin Badger,Nancy White Carlstrom,stories_in_rhyme,1991.0,OL15068857W,//covers.openlibrary.org/b/olid/OL1881885M-M.jpg,"When Ben refuses to nap, Mother Badger tells him rhymes about all the animals that take naps until they both fall asleep.   Read more Read less","Macmillan,              Collier Macmillan Canada,              Maxwell Macmillan International"
Power and Global Economic Institutions,Ayse Kaya,political_science,2015.0,OL21113739W,/images/icons/avatar_book-sm.png,,Cambridge University Press
Homo Lapsus,Niamh Middleton,religion,2019.0,OL29543245W,/images/icons/avatar_book-sm.png,,Deep River Books
Robert Goddard and the Rocket,Louise Spilsbury,juvenile_literature,2015.0,OL28378745W,/images/icons/avatar_book-sm.png,,Rosen Publishing Group
The intellectual hero,Victor Brombert,literature,1961.0,OL8027198W,//covers.openlibrary.org/b/olid/OL21192971M-M.jpg,,University of Chicago Press
The Peter Rowan Songbook,Peter Rowan,music,2005.0,OL2724739W,//covers.openlibrary.org/b/olid/OL8895192M-M.jpg,,Homespun
The Three bears,,bears,1900.0,OL32097850W,/images/icons/avatar_book-sm.png,,"Raphael Tuck & Sons, Company, Limited"
The 2006-2011 World Outlook for Consumer Non-Riding Yard Vacuums and Blowers,,business__economics,2005.0,OL10348559M,/images/icons/avatar_book-sm.png,,"Icon Group International, Inc."
"Improvisation for unaccompanied 'cello, op. 124",Edmund Rubbra,music,1967.0,OL7108233W,/images/icons/avatar_book-sm.png,,Lengnick
Exploring peninsulas,Melody S. Mis,juvenile_literature,2009.0,OL5712764W,//covers.openlibrary.org/b/olid/OL16900369M-M.jpg,,PowerKids Press
The glutton's glossary,John Ayto,cooking,1990.0,OL1687551W,//covers.openlibrary.org/b/olid/OL2225387M-M.jpg,,Routledge
The Nevis Company & Trust Laws,Adam Starchild,business__economics,2000.0,OL8721997M,//covers.openlibrary.org/b/olid/OL8721997M-M.jpg,,International Law and Taxation Publishers
Kāntipurī-mahānagarī,Madana Mohana Miśra,poetry,1995.0,OL2311182W,/images/icons/avatar_book-sm.png,"Humorous and satirical long poem on Kathmandu, Nepal.   Read more Read less",Ramā Prakāśana
"Religions, pouvoir et violence",Patrick Cabanel,religion,2004.0,OL19102003W,/images/icons/avatar_book-sm.png,,Presses universitaires du Mirail
北京宗教志回族章(讨论稿),Beijing Shi min zu shi wu wei yuan hui,religion,,OL35573702W,/images/icons/avatar_book-sm.png,,"Beijing Shi min zu shi wu wei yuan hui,              Beijing Shi zong jiao shi wu ju"
"Gimme a break, rattlesnake!",Sonja Dunn,picture_books,1994.0,OL772908W,//covers.openlibrary.org/b/olid/OL95137M-M.jpg,,Stoddart
Fabulae,Gaius Julius Hyginus,poetry,1872.0,OL2389785W,//covers.openlibrary.org/b/olid/OL6396421M-M.jpg,,apud Hermannum Dufft
Thucydides book III,Thucydides,mathematics,1894.0,OL762957W,//covers.openlibrary.org/b/olid/OL23348479M-M.jpg,,Macmillan
"Provincial financing of public education in Taiwan, China",Shang Yung Liang,finance,1963.0,OL12667887W,/images/icons/avatar_book-sm.png,,
Propos sur la poésie: recueillis et présentés par Henri Mondor.,Stéphane Mallarmé,poetry,1945.0,OL10339630W,/images/icons/avatar_book-sm.png,,Éditions du Rocher
[Finansy SSSR,D. A. Allakhverdi︠a︡n,finance,1958.0,OL22434913W,/images/icons/avatar_book-sm.png,,Gosfinizdat
Escape from Saigon: a Vietnam War orphan becomes an American boy,Andrea Warren,juvenile_literature,2004.0,OL1813141W,//covers.openlibrary.org/b/olid/OL3690706M-M.jpg,Chronicles the experiences of an orphaned Amerasian boy from his birth and early childhood in Saigon through his departure from Vietnam in the 1975 Operation Babylift and his subsequent life as the adopted son of an American family in Ohio.   Read more Read less,"Farrar, Straus and Giroux"
Pothunters,,humor,1986.0,OL13294792M,/images/icons/avatar_book-sm.png,,Viking Press
Strauss,Gérald Sfez,political_science,2021.0,OL25920885W,/images/icons/avatar_book-sm.png,,Societe d'edition Les Belles lettres
Animals Lion and Mouse,Kumon Publishing,juvenile_literature,2006.0,OL21002472W,//covers.openlibrary.org/b/olid/OL8813061M-M.jpg,,Kumon Publishing North America
Introduction to Existential Coaching,Yannick Jacob,mental_health,2019.0,OL25748688W,//covers.openlibrary.org/b/olid/OL35554987M-M.jpg,,Taylor & Francis Group
The Take,Graham Hurley,mystery_and_detective_stories,2002.0,OL2467857W,//covers.openlibrary.org/b/olid/OL9422988M-M.jpg,,"Chivers Large print (Chivers, Windsor, Paragon & C"
Sefer ha-tevah ha-mezameret,Nathan Alterman,poetry,1958.0,OL1574114W,/images/icons/avatar_book-sm.png,,ha-Ḳibuts ha-me'uḥad
The British Columbia survey report,Canada. Bureau of Nutritional Sciences.,nutrition,1974.0,OL22491411W,/images/icons/avatar_book-sm.png,,Information Canada
Mi perrito,Inez Greene,puppies,1995.0,OL24212543W,//covers.openlibrary.org/b/olid/OL7669504M-M.jpg,How your puppy might lick you.   Read more Read less,Good Year Books
"The 2000 Import and Export Market for Processed Animal and Vegetable Oils, Fats, and Waxes in Czech Republic (World Trade Report)",Processed Animal and Vegetable Oils Fats,finance,2001.0,OL10876080M,/images/icons/avatar_book-sm.png,,Icon Group International
River,Ted Hughes,poetry,1983.0,OL18481713W,/images/icons/avatar_book-sm.png,,Faber and Faber in association with James & James
